train_accuracy_step,train_f1score_step,train_labelsmoothingcrossentropy_step,epoch,step,val_accuracy,val_f1score,val_labelsmoothingcrossentropy,train_accuracy_epoch,train_f1score_epoch,train_labelsmoothingcrossentropy_epoch
0.15625,0.039516039192676544,3.9108104705810547,0,49,,,,,,
0.21875,0.090396448969841,3.8370790481567383,0,99,,,,,,
0.21875,0.05877193063497543,3.8077778816223145,0,149,,,,,,
0.203125,0.09879863262176514,3.6895813941955566,0,199,,,,,,
0.25,0.09531678259372711,3.4981088638305664,0,249,,,,,,
0.25,0.11814672499895096,3.2061171531677246,0,299,,,,,,
0.234375,0.13997836410999298,3.391310214996338,0,349,,,,,,
0.1875,0.08459888398647308,3.315169095993042,0,399,,,,,,
0.25,0.1313425898551941,3.3429365158081055,0,449,,,,,,
0.25,0.13674242794513702,3.5167136192321777,0,499,,,,,,
0.234375,0.13094905018806458,3.342978000640869,0,549,,,,,,
0.34375,0.24454668164253235,3.078765869140625,0,599,,,,,,
0.34375,0.16160348057746887,2.6984429359436035,0,649,,,,,,
0.34375,0.18970289826393127,3.226184844970703,0,699,,,,,,
0.25,0.12918126583099365,3.100961923599243,0,749,,,,,,
0.234375,0.12215176224708557,3.364347219467163,0,799,,,,,,
0.359375,0.2169841229915619,3.051312208175659,0,849,,,,,,
0.421875,0.29510298371315,2.985365867614746,0,899,,,,,,
0.25,0.08752104640007019,3.2655653953552246,0,949,,,,,,
0.3125,0.2015381157398224,3.1257638931274414,0,999,,,,,,
0.40625,0.1986180543899536,2.7227892875671387,0,1049,,,,,,
0.375,0.26877155900001526,2.9885787963867188,0,1099,,,,,,
0.234375,0.11462776362895966,3.248722791671753,0,1149,,,,,,
0.390625,0.22491289675235748,2.651516914367676,0,1199,,,,,,
0.3125,0.2068435549736023,3.041060447692871,0,1249,,,,,,
0.359375,0.2674258053302765,2.9032554626464844,0,1299,,,,,,
0.390625,0.19044241309165955,2.7193751335144043,0,1349,,,,,,
0.4375,0.29492753744125366,2.61285138130188,0,1399,,,,,,
0.4375,0.289423406124115,2.8941547870635986,0,1449,,,,,,
0.359375,0.21755561232566833,2.848574161529541,0,1499,,,,,,
0.421875,0.289909303188324,2.7071523666381836,0,1549,,,,,,
0.4375,0.2895767390727997,2.3733677864074707,0,1599,,,,,,
0.421875,0.2594643235206604,2.3311820030212402,0,1649,,,,,,
,,,0,1694,0.3957647979259491,0.20497357845306396,2.691737413406372,,,
,,,0,1694,,,,0.3022677004337311,0.12197405844926834,3.1568665504455566
0.5,0.2751190662384033,2.2499284744262695,1,1699,,,,,,
0.296875,0.17317035794258118,3.0252130031585693,1,1749,,,,,,
0.453125,0.27249106764793396,2.3890433311462402,1,1799,,,,,,
0.4375,0.24301588535308838,2.5519938468933105,1,1849,,,,,,
0.421875,0.2550857365131378,2.4142019748687744,1,1899,,,,,,
0.421875,0.23525835573673248,2.7115349769592285,1,1949,,,,,,
0.484375,0.3762206733226776,2.228296995162964,1,1999,,,,,,
0.421875,0.24053031206130981,2.774001121520996,1,2049,,,,,,
0.421875,0.31883424520492554,2.4233779907226562,1,2099,,,,,,
